date;state;name;code;cases;deaths
2020-03-27;ES;Afonso Cláudio;3200100;0;0
2020-03-27;ES;Águia Branca;3200130;0;0
2020-03-27;ES;Água Doce do Norte;3200160;0;0
2020-03-27;ES;Alegre;3200200;0;0
2020-03-27;ES;Alfredo Chaves;3200300;0;0
2020-03-27;ES;Alto Rio Novo;3200350;0;0
2020-03-27;ES;Anchieta;3200400;0;0
2020-03-27;ES;Apiacá;3200500;0;0
2020-03-27;ES;Aracruz;3200600;0;0
2020-03-27;ES;Atílio Vivacqua;3200700;0;0
2020-03-27;ES;Baixo Guandu;3200800;0;0
2020-03-27;ES;Barra de São Francisco;3200900;0;0
2020-03-27;ES;Boa Esperança;3201000;0;0
2020-03-27;ES;Bom Jesus do Norte;3201100;0;0
2020-03-27;ES;Brejetuba;3201150;0;0
2020-03-27;ES;Cachoeiro de Itapemirim;3201200;0;0
2020-03-27;ES;Cariacica;3201300;0;0
2020-03-27;ES;Castelo;3201400;0;0
2020-03-27;ES;Colatina;3201500;0;0
2020-03-27;ES;Conceição da Barra;3201600;0;0
2020-03-27;ES;Conceição do Castelo;3201700;0;0
2020-03-27;ES;Divino de São Lourenço;3201800;0;0
2020-03-27;ES;Domingos Martins;3201900;0;0
2020-03-27;ES;Dores do Rio Preto;3202000;0;0
2020-03-27;ES;Ecoporanga;3202100;0;0
2020-03-27;ES;Fundão;3202200;0;0
2020-03-27;ES;Governador Lindenberg;3202250;0;0
2020-03-27;ES;Guaçuí;3202300;0;0
2020-03-27;ES;Guarapari;3202400;0;0
2020-03-27;ES;Ibatiba;3202450;0;0
2020-03-27;ES;Ibiraçu;3202500;0;0
2020-03-27;ES;Ibitirama;3202550;0;0
2020-03-27;ES;Iconha;3202600;0;0
2020-03-27;ES;Irupi;3202650;0;0
2020-03-27;ES;Itaguaçu;3202700;0;0
2020-03-27;ES;Itapemirim;3202800;0;0
2020-03-27;ES;Itarana;3202900;0;0
2020-03-27;ES;Iúna;3203000;0;0
2020-03-27;ES;Jaguaré;3203050;0;0
2020-03-27;ES;Jerônimo Monteiro;3203100;0;0
2020-03-27;ES;João Neiva;3203130;0;0
2020-03-27;ES;Laranja da Terra;3203160;0;0
2020-03-27;ES;Linhares;3203200;0;0
2020-03-27;ES;Mantenópolis;3203300;0;0
2020-03-27;ES;Marataízes;3203320;0;0
2020-03-27;ES;Marechal Floriano;3203340;0;0
2020-03-27;ES;Marilândia;3203350;0;0
2020-03-27;ES;Mimoso do Sul;3203400;0;0
2020-03-27;ES;Montanha;3203500;0;0
2020-03-27;ES;Mucurici;3203600;0;0
2020-03-27;ES;Muniz Freire;3203700;0;0
2020-03-27;ES;Muqui;3203800;0;0
2020-03-27;ES;Nova Venécia;3203900;0;0
2020-03-27;ES;Pancas;3204000;0;0
2020-03-27;ES;Pedro Canário;3204050;0;0
2020-03-27;ES;Pinheiros;3204100;0;0
2020-03-27;ES;Piúma;3204200;0;0
2020-03-27;ES;Ponto Belo;3204250;0;0
2020-03-27;ES;Presidente Kennedy;3204300;0;0
2020-03-27;ES;Rio Bananal;3204350;0;0
2020-03-27;ES;Rio Novo do Sul;3204400;0;0
2020-03-27;ES;Santa Leopoldina;3204500;0;0
2020-03-27;ES;Santa Maria de Jetibá;3204550;0;0
2020-03-27;ES;Santa Teresa;3204600;0;0
2020-03-27;ES;São Domingos do Norte;3204650;0;0
2020-03-27;ES;São Gabriel da Palha;3204700;0;0
2020-03-27;ES;São José do Calçado;3204800;0;0
2020-03-27;ES;São Mateus;3204900;0;0
2020-03-27;ES;São Roque do Canaã;3204950;0;0
2020-03-27;ES;Serra;3205000;0;0
2020-03-27;ES;Sooretama;3205010;0;0
2020-03-27;ES;Vargem Alta;3205030;0;0
2020-03-27;ES;Venda Nova do Imigrante;3205060;0;0
2020-03-27;ES;Viana;3205100;0;0
2020-03-27;ES;Vila Pavão;3205150;0;0
2020-03-27;ES;Vila Valério;3205170;0;0
